  0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1 
  0   1   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2 
  1   1   2   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3   3 
  1   1   2   3   3   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4 
  1   2   2   3   4   4   4   4   4   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5   5 
  1   2   3   3   4   4   4   4   4   5   5   6   6   6   6   6   6   6   6   6   6   6   6   6   6   6   6 
  1   2   3   4   4   5   5   5   5   5   6   6   6   7   7   7   7   7   7   7   7   7   7   7   7   7   7 
  1   2   3   4   4   5   6   6   6   6   6   6   6   7   7   7   7   8   8   8   8   8   8   8   8   8   8 
  1   2   3   4   5   5   6   6   6   7   7   7   7   7   8   8   8   8   9   9   9   9   9   9   9   9   9 
  1   2   3   4   5   6   6   7   7   7   8   8   8   8   8   8   8   9   9   9  10  10  10  10  10  10  10 
  1   2   3   4   5   6   6   7   7   8   8   9   9   9   9   9   9   9  10  10  10  11  11  11  11  11  11 
  1   2   3   4   5   6   6   7   7   8   8   9  10  10  10  10  10  10  10  11  11  11  12  12  12  12  12 
  1   2   3   4   5   6   6   7   7   8   8   9  10  10  11  11  11  11  11  11  11  12  12  13  13  13  13 
  1   2   3   4   5   6   6   7   7   8   8   9  10  10  11  12  12  12  12  12  12  12  13  13  14  14  14 
  1   2   3   4   5   6   7   7   8   8   9   9  10  11  11  12  12  13  13  13  13  13  13  13  14  14  15 
  1   2   3   4   5   6   7   7   8   9   9  10  10  11  12  12  13  13  14  14  14  14  14  14  14  15  15 
  1   2   3   4   5   6   7   7   8   9   9  10  11  11  12  13  13  13  14  15  15  15  15  15  15  15  15 
  1   2   3   4   5   6   7   8   8   9  10  10  11  12  12  13  13  14  14  15  16  16  16  16  16  16  16 
  1   2   3   4   5   6   7   8   9   9  10  10  11  12  12  13  13  14  14  15  16  16  16  16  16  16  17 
  1   2   3   4   5   6   7   8   9   9  10  10  11  12  12  13  13  14  14  15  16  16  16  16  16  16  17 
  1   2   3   4   5   6   7   8   9   9  10  10  11  12  12  13  13  14  14  15  16  16  16  16  16  16  17 
  1   2   3   4   5   6   7   8   9  10  10  11  11  12  13  13  14  14  15  15  16  17  17  17  17  17  17 
  1   2   3   4   5   6   7   8   9  10  10  11  12  12  13  14  14  14  15  16  16  17  18  18  18  18  18 
  1   2   3   4   5   6   7   8   9  10  11  11  12  13  13  14  14  15  15  16  17  17  18  18  18  18  19 
  1   2   3   4   5   6   7   8   9  10  11  11  12  13  13  14  14  15  15  16  17  17  18  18  18  18  19 
  1   2   3   4   5   6   7   8   9  10  11  12  12  13  14  14  15  15  16  16  17  18  18  19  19  19  19 
  1   2   3   4   5   6   7   8   9  10  11  12  13  13  14  15  15  15  16  17  17  18  19  19  20  20  20 
  1   2   3   4   5   6   7   8   9  10  11  12  13  14  14  15  15  16  16  17  18  18  19  19  20  20  21 
  1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  15  16  16  17  17  18  19  19  20  20  21  21 

  u   p   p   l   p   l   l   l   l   p   l   p   p   l   p   p   p   l   p   p   l   p   p   p   p   p   l 
  u   p   p   l   p   l   l   l   l   p   l   p   p   l   p   p   p   l   p   p   l   p   p   p   p   p   l 
  p   l   u   p   l   p   p   p   p   l   p   l   l   p   l   l   l   p   l   l   p   l   l   l   l   l   p 
  p   u   u   p   u   p   p   p   p   l   p   l   l   p   l   l   l   p   l   l   p   l   l   l   l   l   p 
  u   p   p   u   p   u   u   u   u   p   l   p   p   l   p   p   p   l   p   p   l   p   p   p   p   p   l 
  u   p   p   l   p   u   u   u   u   p   u   p   p   l   p   p   p   l   p   p   l   p   p   p   p   p   l 
  p   u   u   p   l   p   p   p   p   l   p   l   l   p   l   l   l   p   l   l   p   l   l   l   l   l   p 
  p   u   u   p   u   p   p   p   p   l   p   l   l   p   l   l   l   p   l   l   p   l   l   l   l   l   p 
  u   p   p   u   p   u   u   u   u   p   l   p   p   l   p   p   p   l   p   p   l   p   p   p   p   p   l 
  p   u   u   p   u   p   p   p   p   l   p   l   l   p   l   l   l   p   l   l   p   l   l   l   l   l   p 
  u   p   p   u   p   u   u   u   u   p   l   p   p   l   p   p   p   l   p   p   l   p   p   p   p   p   l 
  u   p   p   u   p   u   u   u   u   p   u   p   p   l   p   p   p   l   p   p   l   p   p   p   p   p   l 
  u   p   p   u   p   u   u   u   u   p   u   p   p   l   p   p   p   l   p   p   l   p   p   p   p   p   l 
